CountyID,CountyName,Rate
1,Adair,
2,Alfalfa,
3,Atoka,1.12
4,Beaver,
5,Beckham,
6,Blaine,3.39
7,Bryan,
8,Caddo,4.39
9,Canadian,1.93
10,Carter,4.52
11,Cherokee,2.36
12,Choctaw,
13,Cimarron,
14,Cleveland,2.12
15,Coal,1.99
16,Comanche,2.89
17,Cotton,
18,Craig,
19,Creek,3.32
20,Custer,3.07
21,Delaware,
22,Dewey,2.61
23,Ellis,
24,Garfield,2.78
25,Garvin,2.38
26,Grady,3.28
27,Grant,
28,Greer,3.24
29,Harmon,
30,Harper,
31,Haskell,1.53
32,Hughes,3.84
33,Jackson,
34,Jefferson,
35,Johnston,1.76
36,Kay,
37,Kingfisher,2.47
38,Kiowa,4.58
39,Latimer,1.4
40,Le flore,
41,Lincoln,2.93
42,Logan,1.36
43,Love,
44,McClain,2.79
45,McCurtain,
46,McIntosh,3.58
47,Major,1.47
48,Marshall,
49,Mayes,2.51
50,Murray,3
51,Muskogee,2.26
52,Noble,2.5
53,Nowata,
54,Okfuskee,4.19
55,Oklahoma,2.96
56,Okmulgee,4.64
57,Osage,
58,Ottawa,
59,Pawnee,2.01
60,Payne,1.74
61,Pittsburg,2.45
62,Pontotoc,3.88
63,Pottawatomie,3.59
64,Pushmataha,2.34
65,Roger Mills,
66,Rogers,2.73
67,Seminole,4.96
68,Sequoyah,
69,Stephens,3.7
70,Texas,1.18
71,Tillman,NA
72,Tulsa,2.9
73,Wagoner,1.85
74,Washington,
75,Washita,4.58
76,Woods,
77,Woodward,3.35
